target,source,weight
CYB5R4,Nucleus,-0.384182123
ASB1,Nucleus,1.341294567
FAM107B,Nucleus,-0.042597014
SLC9A7,Nucleus,0.321394818
FOXJ2,Nucleus,0.266052024
PPP2R5A,Nucleus,-0.304138265
ASPM,Nucleus,0.464736683
ZBTB11,Nucleus,0.693597568
ATXN3,Nucleus,0.858627182
FGFR2,Nucleus,0.058661165
LRRC40,Nucleus,-0.13611794
ATG2B,Nucleus,0.533634927
ARFGEF1,Nucleus,-0.674263637
KLF6,Nucleus,0.554560754
NEO1,Nucleus,-0.737777582
TRAM1,Nucleus,-0.909719781
TP53BP1,Nucleus,-0.090254609
IARS2,Nucleus,-0.64184283
ROCK1,Nucleus,0.088474384
HYAL2,Nucleus,-0.706270712
FGFR3,Nucleus,1.419012611
MEF2A,Nucleus,0.290519154
ACSL4,Nucleus,-0.166179106
PRR11,Nucleus,-0.152291055
REEP1,Nucleus,-0.494073682
ATP11A,Nucleus,1.142405093
POLR1A,Nucleus,0.403130674
IP6K2,Nucleus,0.938284282
KIF2A,Nucleus,-0.195700061
TGFBR3,Nucleus,-0.606432704
NEDD4,Nucleus,-0.607519146
MAPK6,Nucleus,-0.293486357
UFD1L,Nucleus,1.013367065
LRP6,Nucleus,0.682001788
NUCB2,Nucleus,-0.710961253
SLC44A1,Nucleus,-0.603635889
TMEM260,Nucleus,0.313829322
SMG6,Nucleus,-0.039986711
CLTCL1,Nucleus,1.496292637
DGCR2,Nucleus,-0.190497108
MNT,Nucleus,1.858093337
ZXDC,Nucleus,1.777364718
NDST1,Nucleus,0.378107849
AP3M2,Nucleus,0.803836317
RAD18,Nucleus,0.879451313
ATP2B1,Nucleus,0.036776708
MGAT4A,Nucleus,0.18306298
SNX13,Nucleus,0.351547889
VASH1,Nucleus,0.694506186
SEL1L,Nucleus,-0.33734212
ATP6AP1,Nucleus,-0.581835062
DAZAP1,Nucleus,0.924737912
CPSF1,Nucleus,0.933925775
SLC6A15,Nucleus,-0.078621633
RDH11,Nucleus,-0.347709332
PRKACA,Nucleus,-0.543395286
LPHN1,Nucleus,0.768194467
RPS6KA6,Nucleus,0.307325087
EPN2,Nucleus,0.548691151
PTPN18,Nucleus,0.75336665
TFRC,Nucleus,-0.181467359
AFF4,Nucleus,0.573624509
MPP5,Nucleus,-0.272478991
HMMR,Nucleus,-0.704678582
P4HA2,Nucleus,-0.849191769
TRNT1,Nucleus,0.821493465
ACADVL,Nucleus,0.713249452
EVC,Nucleus,0.05475477
DERL2,Nucleus,-0.086783806
NDE1,Nucleus,-0.231696748
PVR,Nucleus,0.201183842
SCARB1,Nucleus,1.024363903
SELO,Nucleus,2.30830846
LLGL2,Nucleus,1.601657534
PDE8A,Nucleus,0.293769007
SDHA,Nucleus,-0.366219306
KDM5A,Nucleus,-0.037785262
ADAM11,Nucleus,1.111789582
ST6GAL1,Nucleus,-0.617110134
GLI2,Nucleus,0.985183384
NOTCH3,Nucleus,-0.50923819
BCS1L,Nucleus,1.059506959
DPP8,Nucleus,0.772812999
SLC24A1,Nucleus,0.040584311
LMAN1,Nucleus,-0.356039651
PTPLAD1,Nucleus,-0.553294461
TUBE1,Nucleus,1.06877964
SEMA3C,Nucleus,-0.519408302
TTC38,Nucleus,0.808528246
CELSR1,Nucleus,0.06180832
ZNF638,Nucleus,0.187079672
SLC25A40,Nucleus,0.845037372
RASAL2,Nucleus,0.714305027
ZNF37A,Nucleus,1.266357832
FNDC3B,Nucleus,0.243167826
FRYL,Nucleus,0.26391969
TMEM131,Nucleus,-0.055987426
WDR62,Nucleus,1.000182302
BCAP29,Nucleus,-0.200624182
SEC31B,Nucleus,1.659884261
RBMS2,Nucleus,0.750768934
SLC46A1,Nucleus,0.159414381
PLXNA2,Nucleus,-1.201507692
ANKRD13A,Nucleus,0.191212833
PAG1,Nucleus,0.696852247
MCAM,Nucleus,-0.113588055
GPC4,Nucleus,-0.906475829
MBNL3,Nucleus,0.46870208
DGKD,Nucleus,1.044295552
TM9SF3,Nucleus,-0.266305519
PPP1R12B,Nucleus,1.359702752
DNAJC10,Nucleus,-0.017695433
GTF3C1,Nucleus,-0.126394439
IL4R,Nucleus,0.041934191
LRCH4,Nucleus,1.305797278
FAM76B,Nucleus,1.515730444
SIRT6,Nucleus,0.312060773
POLD3,Nucleus,0.809068504
PHF17,Nucleus,0.251591579
FBLN1,Nucleus,-1.246901832
ITGA8,Nucleus,-1.255237933
MCCC1,Nucleus,-0.552051598
ACER3,Nucleus,0.82714798
N4BP2,Nucleus,0.381557542
HOXA9,Nucleus,1.33265715
PCM1,Nucleus,0.243309132
TNRC6C,Nucleus,0.87143647
ITCH,Nucleus,-0.041951632
SDF4,Nucleus,0.263979932
FKBP7,Nucleus,-0.632355668
SLC1A3,Nucleus,-0.000411806
SAR1A,Nucleus,-0.340013219
PAFAH1B3,Nucleus,-0.496172561
MOXD1,Nucleus,-1.267686491
STX7,Nucleus,0.542513252
RABL2B,Nucleus,0.928476599
SLC35C2,Nucleus,0.936579208
CRYBG3,Nucleus,0.650663201
RIF1,Nucleus,0.503218834
PSEN1,Nucleus,-0.65045075
RBL1,Nucleus,-0.095027995
RSBN1,Nucleus,-0.139494422
MAGI3,Nucleus,0.409800721
OSTM1,Nucleus,-0.651915376
EXD2,Nucleus,-0.512102381
MEF2C,Nucleus,0.359979908
UBA5,Nucleus,0.706284367
STK17B,Nucleus,0.387535054
ZNF510,Nucleus,0.695336723
LRP2,Nucleus,-0.41261898
DUSP12,Nucleus,0.756487125
KIAA0141,Nucleus,0.982969696
PHLPP1,Nucleus,-0.17619711
SMARCD3,Nucleus,1.142489442
C5orf22,Nucleus,0.079972361
CCNT2,Nucleus,1.537979044
NFE2L1,Nucleus,-0.560216581
GSK3B,Nucleus,-0.119399469
ITGB5,Nucleus,-0.905212288
ERC1,Nucleus,-0.466918731
RNF13,Nucleus,-0.68804037
LYRM2,Nucleus,-0.310257994
KAT6A,Nucleus,0.133337881
PLOD1,Nucleus,-0.770879882
TDRD3,Nucleus,-0.149016936
PDS5B,Nucleus,0.015559822
OXCT1,Nucleus,-0.233742973
RRAGB,Nucleus,0.172909999
FAT1,Nucleus,-0.170065787
YTHDC1,Nucleus,0.3799096
ZMPSTE24,Nucleus,-0.64470498
REST,Nucleus,0.152289164
APLP2,Nucleus,-0.494796617
KIAA1467,Nucleus,-0.272129878
TXLNA,Nucleus,0.882102417
NCOA1,Nucleus,-0.482105335
AGBL5,Nucleus,-0.728980868
CD59,Nucleus,-0.734606336
ATRX,Nucleus,0.352087003
SCAMP1,Nucleus,-0.70887847
HACE1,Nucleus,0.652119665
WDFY1,Nucleus,-0.031535225
MTIF2,Nucleus,0.01793534
ATG16L1,Nucleus,0.822380509
POMGNT1,Nucleus,-0.057341953
B4GALT1,Nucleus,-0.526650229
IPO11,Nucleus,-0.520908182
TMED2,Nucleus,-0.537290925
ERO1LB,Nucleus,0.042024528
PPP1R15A,Nucleus,-0.704614529
NLK,Nucleus,0.045761624
PIGS,Nucleus,-0.725207848
ATXN7L3,Nucleus,0.017083362
PGS1,Nucleus,1.24750382
SH3BP2,Nucleus,1.607120678
ADD1,Nucleus,0.179288225
TXNDC16,Nucleus,-0.055104456
NID2,Nucleus,-0.520503585
KLHL42,Nucleus,1.123187908
ERGIC2,Nucleus,0.014219867
METTL2A,Nucleus,-0.150142259
PTPN4,Nucleus,0.949288034
KHSRP,Nucleus,0.117974595
EPB41L1,Nucleus,-0.43786433
ANKRD10,Nucleus,1.902914808
DOCK3,Nucleus,1.155367011
PPP1R13B,Nucleus,1.120794982
ATRN,Nucleus,-0.272009288
ZNF343,Nucleus,0.67510845
MAVS,Nucleus,1.031126276
LZTS3,Nucleus,0.992362608
SNX5,Nucleus,1.510794794
MAPKAPK5,Nucleus,0.6256982
ESF1,Nucleus,0.655404018
SLC23A2,Nucleus,0.297813303
KIF16B,Nucleus,-0.234195972
ERP29,Nucleus,-0.725729974
FUS,Nucleus,1.85004957
ZNF302,Nucleus,0.886259127
GRAMD1A,Nucleus,0.712918199
GANAB,Nucleus,-0.932319021
RBM41,Nucleus,1.352117008
GPATCH2L,Nucleus,1.203434391
SLC9A1,Nucleus,0.134090555
SPTLC1,Nucleus,-0.633404979
PAPOLA,Nucleus,-0.141579598
MUL1,Nucleus,-0.753040705
RAB11FIP3,Nucleus,0.83492782
GOLGA3,Nucleus,0.776430509
EFNB1,Nucleus,-0.275307522
PDPR,Nucleus,0.783821944
GLG1,Nucleus,-0.506228979
TNRC6A,Nucleus,0.656263869
PLEKHG2,Nucleus,0.485220188
NAT14,Nucleus,-0.131589286
RBM27,Nucleus,-0.085942358
OSBPL8,Nucleus,0.221926631
NRCAM,Nucleus,-0.592537125
LAMB1,Nucleus,-0.348578229
CMTM6,Nucleus,-0.692152634
ITGA6,Nucleus,-0.170050138
SEL1L3,Nucleus,-0.744950195
ORC6,Nucleus,1.440757124
TMEM101,Nucleus,-0.935651218
OSGEP,Nucleus,1.296357987
G2E3,Nucleus,0.409304506
HECTD1,Nucleus,0.383207457
SEMA6A,Nucleus,0.18339088
TRPM7,Nucleus,-0.031790125
TYRO3,Nucleus,-0.217160095
AGO1,Nucleus,0.984643473
MFSD11,Nucleus,-0.235429347
GPATCH2,Nucleus,0.612794453
NUP50,Nucleus,0.599629258
LRRFIP2,Nucleus,0.724904084
SEC22C,Nucleus,0.946573127
XYLB,Nucleus,1.070292229
HDAC6,Nucleus,0.231321742
CBX5,Nucleus,0.345075365
SUCO,Nucleus,0.104055771
HOOK2,Nucleus,0.973276243
ARCN1,Nucleus,-0.338165095
TMEM38B,Nucleus,-0.576012598
BTAF1,Nucleus,0.611559095
IKZF5,Nucleus,0.585580171
WAC,Nucleus,0.04862187
CREM,Nucleus,-0.384649736
BRPF3,Nucleus,0.364989045
EFHC1,Nucleus,1.285654348
ABL1,Nucleus,-0.129529186
SH3GLB1,Nucleus,0.124466239
SCD,Nucleus,-0.218850608
ABLIM1,Nucleus,0.194398347
ERMP1,Nucleus,-0.531403422
NRP1,Nucleus,-0.47070184
MZF1,Nucleus,2.723700768
FBXL19,Nucleus,0.410362103
MTAP,Nucleus,0.516407481
CEP170B,Nucleus,1.382940587
POLRMT,Nucleus,0.545642011
ARVCF,Nucleus,1.542840002
TRMT2A,Nucleus,1.026294666
ZDHHC8,Nucleus,1.350691449
KLHL22,Nucleus,1.036380649
CRKL,Nucleus,0.044978402
LZTR1,Nucleus,0.865495812
CECR2,Nucleus,0.785769972
DERL3,Nucleus,1.347732355
PPM1F,Nucleus,1.122806142
TOP3B,Nucleus,1.706769985
CRYBB2P1,Nucleus,1.413432079
ADRBK2,Nucleus,0.540927613
GGA1,Nucleus,1.158558304
HPS4,Nucleus,0.796379668
TTC28,Nucleus,0.409192944
SEPT3,Nucleus,0.071027704
KDELR3,Nucleus,-1.188003938
DDX17,Nucleus,2.019032911
TCF20,Nucleus,0.113949708
TIMP3,Nucleus,0.163841621
PPP6R2,Nucleus,1.401056699
SUN2,Nucleus,-0.350954266
ARSA,Nucleus,1.004451626
MYH9,Nucleus,0.046417373
FOXRED2,Nucleus,-0.315234239
TNRC6B,Nucleus,0.647455409
SGSM3,Nucleus,0.796268396
IFT27,Nucleus,1.618871818
KIAA0930,Nucleus,-0.273065263
EP300,Nucleus,0.441510208
ZC3H7B,Nucleus,0.50131575
ACO2,Nucleus,-0.809626478
TRMU,Nucleus,1.659835551
ZBED4,Nucleus,-0.063748466
ABHD4,Nucleus,-0.845877391
KHNYN,Nucleus,0.184145711
NIN,Nucleus,0.450242748
GNPNAT1,Nucleus,-0.048071542
DDHD1,Nucleus,1.226146456
CNIH1,Nucleus,-0.606501021
TMED8,Nucleus,0.52366767
SPTLC2,Nucleus,-0.690469
PPM1A,Nucleus,0.628679111
SIX4,Nucleus,0.614670785
GALNT16,Nucleus,0.727661768
KIAA0247,Nucleus,0.362896717
SRSF5,Nucleus,0.878533239
DICER1,Nucleus,0.709026622
ZFYVE21,Nucleus,1.634950098
TELO2,Nucleus,0.998151094
PCNX,Nucleus,0.093936772
GSKIP,Nucleus,-0.728064009
SMEK1,Nucleus,-0.040416734
TRIP11,Nucleus,0.183528909
PABPN1,Nucleus,1.324314107
ARHGAP5,Nucleus,0.424464575
CHD8,Nucleus,0.038239848
PCK2,Nucleus,-0.702121509
PNN,Nucleus,1.194917319
PLTP,Nucleus,-0.600559667
ABHD12,Nucleus,-0.12789809
GINS1,Nucleus,-0.012259655
RIMS4,Nucleus,0.497072661
PABPC1L,Nucleus,1.722026944
STK4,Nucleus,0.306472687
BMP7,Nucleus,-0.373171418
DNAJC5,Nucleus,0.256232586
SLCO4A1,Nucleus,1.478671649
DIDO1,Nucleus,1.380697564
ARFGAP1,Nucleus,1.921889164
ARFRP1,Nucleus,2.204192381
CDS2,Nucleus,-0.396026738
TM9SF4,Nucleus,-0.494085861
POFUT1,Nucleus,-0.16499028
SAMHD1,Nucleus,-0.379312922
KIF3B,Nucleus,0.0214782
E2F1,Nucleus,0.773143955
APMAP,Nucleus,-0.469928869
ZNF516,Nucleus,1.220476871
LPIN2,Nucleus,0.117122742
SMCHD1,Nucleus,0.264623214
LAMA1,Nucleus,0.030773733
RNF125,Nucleus,0.999783356
ANKRD12,Nucleus,1.053992516
MIB1,Nucleus,0.162965421
MID1,Nucleus,0.627576235
WDR13,Nucleus,0.02428866
XIAP,Nucleus,0.369734357
ATP11C,Nucleus,0.011410738
SYP,Nucleus,-0.004784482
FMR1,Nucleus,0.342293681
SLC35A2,Nucleus,-0.100330788
TAZ,Nucleus,0.752508695
MAGT1,Nucleus,-0.37175811
CD99L2,Nucleus,-0.922327621
EEA1,Nucleus,0.254948322
NDFIP2,Nucleus,-0.221946156
DNAJC3,Nucleus,-0.238855861
UGGT2,Nucleus,0.227668674
ARHGEF7,Nucleus,0.531252947
PARP4,Nucleus,-0.190072164
FLT1,Nucleus,-0.618404811
VWA8,Nucleus,-0.137241314
DGKH,Nucleus,1.845697358
INTS6,Nucleus,0.265116556
CLN5,Nucleus,-0.372364384
MGRN1,Nucleus,1.208341626
ZNF629,Nucleus,0.165722424
CENPT,Nucleus,1.171870365
NFAT5,Nucleus,1.276473073
SETD6,Nucleus,1.94768189
SLC38A7,Nucleus,0.486392992
SLC7A6OS,Nucleus,1.14949252
SLC7A6,Nucleus,0.79960467
WDR59,Nucleus,0.871171874
TAF1C,Nucleus,1.500661084
TSC2,Nucleus,0.828417773
ZNF500,Nucleus,1.495429269
ABCC1,Nucleus,-0.216980129
NOMO3,Nucleus,-0.991151828
NARFL,Nucleus,1.008535843
MTHFSD,Nucleus,0.944408687
CLCN7,Nucleus,0.953055436
SLC7A5,Nucleus,0.030534199
FBXO31,Nucleus,0.739354057
EEF2K,Nucleus,0.779951903
CAPN15,Nucleus,1.778663248
PIEZO1,Nucleus,0.939496805
BFAR,Nucleus,-0.505093068
NOMO1,Nucleus,-0.332971549
CCP110,Nucleus,0.411557287
RNF40,Nucleus,-0.077945896
LACTB,Nucleus,-0.344730347
CD276,Nucleus,-0.481932613
HOMER2,Nucleus,0.406108117
TMEM87A,Nucleus,-0.254281575
ZNF106,Nucleus,0.319029383
CEP152,Nucleus,0.713954069
TJP1,Nucleus,0.041555278
VPS18,Nucleus,-0.411048243
MYEF2,Nucleus,0.775437298
CSPP1,Nucleus,1.026407844
ZFAND1,Nucleus,0.271652717
FZD3,Nucleus,0.696270861
EYA1,Nucleus,-0.148648882
NBN,Nucleus,0.037755592
IMPAD1,Nucleus,0.125109911
UBE2W,Nucleus,0.722662857
IKBKB,Nucleus,1.183842178
PLAT,Nucleus,-1.318809282
JPH1,Nucleus,0.57945457
TRPS1,Nucleus,0.75003003
PYCRL,Nucleus,0.078446332
EEF1D,Nucleus,1.317716243
SQLE,Nucleus,-0.394238657
SLC39A14,Nucleus,-0.27448957
MTMR9,Nucleus,1.070720879
LEPROTL1,Nucleus,-0.367428076
PPP2CB,Nucleus,-0.100814935
KLHDC4,Nucleus,1.391141818
KCTD9,Nucleus,0.01943471
MAN2B1,Nucleus,-0.188685753
NUCB1,Nucleus,-0.844266735
SARS2,Nucleus,1.315215906
SNRNP70,Nucleus,1.526292971
CLPTM1,Nucleus,-0.014326614
CLASRP,Nucleus,1.140159711
FCGRT,Nucleus,-0.806398443
ERCC2,Nucleus,0.858914255
DOT1L,Nucleus,1.242672773
SF3A2,Nucleus,1.237394667
AMH,Nucleus,3.076277435
DMPK,Nucleus,2.098176236
TIMM44,Nucleus,0.954397864
AKAP8,Nucleus,0.773577742
AKT2,Nucleus,0.866170099
PLD3,Nucleus,-0.589781788
FSD1,Nucleus,0.465544735
APLP1,Nucleus,-1.357786934
CACTIN,Nucleus,1.050666138
TYK2,Nucleus,1.276786536
PTPRS,Nucleus,0.059186944
MEGF8,Nucleus,0.010468394
KDELR1,Nucleus,-0.676022157
CYTH2,Nucleus,1.394350832
LIG1,Nucleus,0.908704065
BCAT2,Nucleus,0.227925425
TNPO2,Nucleus,1.039348501
DNASE2,Nucleus,-1.191644919
ISYNA1,Nucleus,0.778997226
CRTC1,Nucleus,2.003018772
SUGP1,Nucleus,1.077893354
SIPA1L3,Nucleus,0.374741618
CADM4,Nucleus,-0.677866135
SMG9,Nucleus,1.364131484
AVL9,Nucleus,0.287299618
CDK6,Nucleus,0.465628534
DNAJC2,Nucleus,0.784322865
WDR91,Nucleus,0.780952053
CBLL1,Nucleus,0.352383705
MTPN,Nucleus,-0.422502929
ZC3HAV1,Nucleus,0.078440087
OGDH,Nucleus,-0.8290997
MET,Nucleus,-0.329787959
LMBR1,Nucleus,-0.407828485
HOXA3,Nucleus,1.463487737
HOXA6,Nucleus,1.692769929
BRAT1,Nucleus,1.039345319
FKBP14,Nucleus,0.422644292
NSUN5P2,Nucleus,1.956501758
CASP2,Nucleus,0.596239087
HSPB1,Nucleus,-1.117825265
ZKSCAN1,Nucleus,0.194785596
WASL,Nucleus,0.043702188
RBM28,Nucleus,0.877008026
C1GALT1,Nucleus,-0.542275246
PLOD3,Nucleus,0.035549743
CLDN15,Nucleus,2.333074153
TMEM106B,Nucleus,-0.093125645
CEP41,Nucleus,-0.340786461
GLI3,Nucleus,-0.079148174
TMEM248,Nucleus,-0.212668538
TBL2,Nucleus,-0.351569382
FKTN,Nucleus,0.960242161
TMEM245,Nucleus,0.46029845
MEGF9,Nucleus,-0.28734537
TGFBR1,Nucleus,-0.341326814
DNM1,Nucleus,2.046085979
KANK1,Nucleus,0.248259506
RAPGEF1,Nucleus,0.264362392
NPDC1,Nucleus,2.421287849
SETX,Nucleus,0.236802357
CCNJ,Nucleus,0.043863702
RAB11FIP2,Nucleus,0.358085439
ERLIN1,Nucleus,-0.102342006
MAPK8,Nucleus,0.688929648
ATE1,Nucleus,-0.342110245
PLEKHA1,Nucleus,0.734537623
UNC5B,Nucleus,0.294448425
BMPR1A,Nucleus,-0.461190591
ACTA2,Nucleus,-4.868820133
LIPA,Nucleus,-1.178268263
LZTS2,Nucleus,1.185991934
ARHGAP21,Nucleus,0.014486277
ANKRD26,Nucleus,0.223945696
LARP4B,Nucleus,0.438399535
C10orf137,Nucleus,0.784322393
MTPAP,Nucleus,0.276840819
SH3PXD2A,Nucleus,0.839212881
PITRM1,Nucleus,-0.144607269
FAM208B,Nucleus,0.522259787
TSPAN14,Nucleus,-0.199536031
NUFIP2,Nucleus,1.475736278
DHX40,Nucleus,-0.338346708
CDK5RAP3,Nucleus,0.983278154
RECQL5,Nucleus,0.398572686
INTS2,Nucleus,-0.088051773
